21.11.2024, 08:35
Project Statistics

                 	Segments	 Words	Characters (w/o spaces)	Characters (w/ spaces)	#Files	
Total:           	    2686	422141	                3352889	               3525975	   158	
Remaining:       	    2685	421943	                3351478	               3524484	   157	
Unique:          	    2653	422002	                3352159	               3525135	   157	
Unique Remaining:	    2652	421804	                3350748	               3523644	   156	


Individual File Statistics:

File Name                                          	Total Segments	Remaining Segments	Unique Segments	Unique Remaining Segments	Total Words	Remaining Words	Unique Words	Unique Remaining Words	Total Characters (w/o spaces)	Remaining Characters (w/o spaces)	Unique Characters (w/o spaces)	Unique Remaining Characters (w/o spaces)	Total Characters (w/ spaces)	Remaining Characters (w/ spaces)	Unique Characters (w/ spaces)	Unique Remaining Characters (w/ spaces)	
books/page_costume_minstrel.3316.txt               	             4	                 4	              4	                        4	         42	             42	          42	                    42	                          180	                              180	                           180	                                     180	                         213	                             213	                          213	                                    213	
books/page_costume_pirate.2693.txt                 	             4	                 4	              4	                        4	         60	             60	          60	                    60	                          302	                              302	                           302	                                     302	                         349	                             349	                          349	                                    349	
books/page_costume_ranger.2479.txt                 	             4	                 4	              4	                        4	         62	             62	          62	                    62	                          304	                              304	                           304	                                     304	                         354	                             354	                          354	                                    354	
books/page_flowers_10.3159.txt                     	             4	                 4	              4	                        4	         62	             62	          62	                    62	                          269	                              269	                           269	                                     269	                         327	                             327	                          327	                                    327	
books/paper_manuscript_armourWarning.3250.txt      	             4	                 4	              4	                        4	         66	             66	          66	                    66	                          347	                              347	                           347	                                     347	                         373	                             373	                          373	                                    373	
books/paper_manuscript_gustoFataleCellNote.3266.txt	             4	                 4	              4	                        4	         17	             17	          17	                    17	                           76	                               76	                            76	                                      76	                          86	                              86	                           86	                                     86	
quests/quest_findFaustus.2875.txt                  	             4	                 4	              4	                        4	        643	            643	         643	                   643	                         4186	                             4186	                          4186	                                    4186	                        4493	                            4493	                         4493	                                   4493	
quests/quest_findPirateTreasure.2648.txt           	             4	                 4	              4	                        4	        541	            541	         541	                   541	                         3662	                             3662	                          3662	                                    3662	                        3899	                            3899	                         3899	                                   3899	
quests/quest_magpieAndMouseKing.3313.txt           	             4	                 4	              4	                        4	        541	            541	         541	                   541	                         3727	                             3727	                          3727	                                    3727	                        4007	                            4007	                         4007	                                   4007	
quests/quest_theMessenger.2498.txt                 	             4	                 4	              4	                        4	        750	            750	         750	                   750	                         4929	                             4929	                          4929	                                    4929	                        5269	                            5269	                         5269	                                   5269	
songs/song_cowardKing.2503.txt                     	             4	                 4	              4	                        4	        122	            122	         122	                   122	                          518	                              518	                           518	                                     518	                         605	                             605	                          605	                                    605	
songs/song_ratTwoTails.2849.txt                    	             4	                 4	              4	                        4	        136	            136	         136	                   136	                          566	                              566	                           566	                                     566	                         656	                             656	                          656	                                    656	
books/page_costume_king.3289.txt                   	             3	                 3	              3	                        3	         55	             55	          55	                    55	                          253	                              253	                           253	                                     253	                         297	                             297	                          297	                                    297	
books/page_flowers_13.3090.txt                     	             3	                 3	              3	                        3	         66	             66	          66	                    66	                          301	                              301	                           301	                                     301	                         359	                             359	                          359	                                    359	
books/page_flowers_14.3389.txt                     	             3	                 3	              3	                        3	         51	             51	          51	                    51	                          249	                              249	                           249	                                     249	                         297	                             297	                          297	                                    297	
books/page_flowers_4.2351.txt                      	             3	                 3	              3	                        3	         72	             72	          72	                    72	                          307	                              307	                           307	                                     307	                         376	                             376	                          376	                                    376	
books/page_flowers_6.3433.txt                      	             3	                 3	              3	                        3	         60	             60	          60	                    60	                          287	                              287	                           287	                                     287	                         344	                             344	                          344	                                    344	
books/paper_manuscript_drunkenRatCell.2376.txt     	             3	                 3	              3	                        3	         21	             21	          21	                    21	                          107	                              107	                           107	                                     107	                         113	                             113	                          113	                                    113	
books/paper_manuscript_ordersLowerKeep.2367.txt    	             3	                 3	              3	                        3	         74	             74	          74	                    74	                          347	                              347	                           347	                                     347	                         417	                             417	                          417	                                    417	
books/paper_manuscript_silasCell.3141.txt          	             3	                 3	              3	                        3	         20	             20	          20	                    20	                           98	                               98	                            98	                                      98	                         103	                             103	                          103	                                    103	
books/paper_manuscript_tilosCell.2461.txt          	             3	                 3	              3	                        3	         20	             20	          20	                    20	                           93	                               93	                            93	                                      93	                          98	                              98	                           98	                                     98	
books/paper_message_silas1.3168.txt                	             3	                 3	              3	                        3	         18	             18	          18	                    18	                           83	                               83	                            83	                                      83	                          95	                              95	                           95	                                     95	
quests/quest_burningOfTheRedPaw.3373.txt           	             3	                 3	              3	                        3	        261	            261	         261	                   261	                         1772	                             1772	                          1772	                                    1772	                        1898	                            1898	                         1898	                                   1898	
quests/quest_costumeArmour.2756.txt                	             3	                 3	              3	                        3	        413	            413	         413	                   413	                         3034	                             3034	                          3034	                                    3034	                        3225	                            3225	                         3225	                                   3225	
quests/quest_getKeroldABottle.3369.txt             	             3	                 3	              3	                        3	        229	            229	         229	                   229	                         1597	                             1597	                          1597	                                    1597	                        1707	                            1707	                         1707	                                   1707	
quests/quest_mysteryOfDuinlansTomb.2634.txt        	             3	                 3	              3	                        3	        575	            575	         575	                   575	                         3813	                             3813	                          3813	                                    3813	                        4106	                            4106	                         4106	                                   4106	
quests/quest_stopTheGreenFlame.2738.txt            	             3	                 3	              3	                        3	        316	            316	         316	                   316	                         2086	                             2086	                          2086	                                    2086	                        2247	                            2247	                         2247	                                   2247	
quests/quest_transportRendezvous.2570.txt          	             3	                 3	              3	                        3	        603	            603	         603	                   603	                         4213	                             4213	                          4213	                                    4213	                        4509	                            4509	                         4509	                                   4509	
quests/quest_upgradeArmourA.2550.txt               	             3	                 3	              3	                        3	        411	            411	         411	                   411	                         2817	                             2817	                          2817	                                    2817	                        2986	                            2986	                         2986	                                   2986	
quests/quest_upgradeArmourB.2745.txt               	             3	                 3	              3	                        3	        410	            410	         410	                   410	                         2814	                             2814	                          2814	                                    2814	                        2983	                            2983	                         2983	                                   2983	
songs/song_insultingSong.3021.txt                  	             3	                 3	              3	                        3	        134	            134	         134	                   134	                          544	                              544	                           544	                                     544	                         635	                             635	                          635	                                    635	
books/page_flowers_11.2733.txt                     	             2	                 2	              2	                        2	         67	             67	          67	                    67	                          339	                              339	                           339	                                     339	                         408	                             408	                          408	                                    408	
books/page_song_commander.3111.txt                 	             2	                 2	              2	                        2	         21	             21	          21	                    21	                          109	                              109	                           109	                                     109	                         128	                             128	                          128	                                    128	
books/page_song_gildedWarrior.2551.txt             	             2	                 2	              2	                        2	         29	             29	          29	                    29	                          133	                              133	                           133	                                     133	                         160	                             160	                          160	                                    160	
books/page_song_gustoAndFatale.3431.txt            	             2	                 2	              2	                        2	         33	             33	          33	                    33	                          178	                              178	                           178	                                     178	                         209	                             209	                          209	                                    209	
books/page_song_insultingSong.2961.txt             	             2	                 2	              2	                        2	         32	             32	          32	                    32	                          149	                              149	                           149	                                     149	                         179	                             179	                          179	                                    179	
books/page_song_pirateSong.3342.txt                	             2	                 2	              2	                        2	         18	             18	          18	                    18	                           95	                               95	                            95	                                      95	                         111	                             111	                          111	                                    111	
books/page_song_silas.2797.txt                     	             2	                 2	              2	                        2	         27	             27	          27	                    27	                          122	                              122	                           122	                                     122	                         147	                             147	                          147	                                    147	
books/paper_manuscript_drawbridgeWarning.2444.txt  	             2	                 2	              2	                        2	         14	             14	          14	                    14	                           83	                               83	                            83	                                      83	                          96	                              96	                           96	                                     96	
books/poster_printed_powderkeg.3344.txt            	             2	                 2	              2	                        2	         18	             18	          18	                    18	                          101	                              101	                           101	                                     101	                         115	                             115	                          115	                                    115	
quests/quest_changeTransportPlan.3327.txt          	             2	                 2	              2	                        2	        566	            566	         566	                   566	                         3839	                             3839	                          3839	                                    3839	                        4125	                            4125	                         4125	                                   4125	
quests/quest_clearArmoryRockFall.2346.txt          	             2	                 2	              2	                        2	        332	            332	         332	                   332	                         2385	                             2385	                          2385	                                    2385	                        2540	                            2540	                         2540	                                   2540	
quests/quest_cureForRingtail.3379.txt              	             2	                 2	              2	                        2	        235	            235	         235	                   235	                         1712	                             1712	                          1712	                                    1712	                        1822	                            1822	                         1822	                                   1822	
quests/quest_dyeFrogsBeard.3303.txt                	             2	                 2	              2	                        2	        276	            276	         276	                   276	                         2012	                             2012	                          2012	                                    2012	                        2134	                            2134	                         2134	                                   2134	
quests/quest_escapePlanStash.3091.txt              	             2	                 2	              2	                        2	        498	            498	         498	                   498	                         3389	                             3389	                          3389	                                    3389	                        3604	                            3604	                         3604	                                   3604	
quests/quest_escapePlanWhistle.2375.txt            	             2	                 2	              2	                        2	        478	            478	         478	                   478	                         3179	                             3179	                          3179	                                    3179	                        3378	                            3378	                         3378	                                   3378	
quests/quest_fataleSecret.3397.txt                 	             2	                 2	              2	                        2	        326	            326	         326	                   326	                         2253	                             2253	                          2253	                                    2253	                        2408	                            2408	                         2408	                                   2408	
quests/quest_getTools.2896.txt                     	             2	                 2	              2	                        2	        540	            540	         540	                   540	                         3687	                             3687	                          3687	                                    3687	                        3927	                            3927	                         3927	                                   3927	
quests/quest_hangoverTonic.3354.txt                	             2	                 2	              2	                        2	        941	            941	         941	                   941	                         6476	                             6476	                          6476	                                    6476	                        6893	                            6893	                         6893	                                   6893	
quests/quest_loseTail.2549.txt                     	             2	                 2	              2	                        2	        427	            427	         427	                   427	                         2879	                             2879	                          2879	                                    2879	                        3058	                            3058	                         3058	                                   3058	
quests/quest_lostSquad.2675.txt                    	             2	                 2	              2	                        2	        257	            257	         257	                   257	                         1822	                             1822	                          1822	                                    1822	                        1947	                            1947	                         1947	                                   1947	
quests/quest_rememberTheDead.2930.txt              	             2	                 2	              2	                        2	        258	            258	         258	                   258	                         1787	                             1787	                          1787	                                    1787	                        1915	                            1915	                         1915	                                   1915	
quests/quest_retrieveMissingBeetles.2856.txt       	             2	                 2	              2	                        2	        232	            232	         232	                   232	                         1686	                             1686	                          1686	                                    1686	                        1793	                            1793	                         1793	                                   1793	
quests/quest_retrieveSpyglass.3284.txt             	             2	                 2	              2	                        2	        699	            699	         699	                   699	                         4826	                             4826	                          4826	                                    4826	                        5138	                            5138	                         5138	                                   5138	
quests/quest_retrieveStolenBand.3215.txt           	             2	                 2	              2	                        2	        748	            748	         748	                   748	                         4960	                             4960	                          4960	                                    4960	                        5305	                            5305	                         5305	                                   5305	
quests/quest_searchSilasFootLocker.2387.txt        	             2	                 2	              2	                        2	        501	            501	         501	                   501	                         3367	                             3367	                          3367	                                    3367	                        3599	                            3599	                         3599	                                   3599	
quests/quest_silenceMusic.2404.txt                 	             2	                 2	              2	                        2	        465	            465	         465	                   465	                         3112	                             3112	                          3112	                                    3112	                        3310	                            3310	                         3310	                                   3310	
quests/quest_spiderAntidote.2743.txt               	             2	                 2	              2	                        2	        353	            353	         353	                   353	                         2478	                             2478	                          2478	                                    2478	                        2650	                            2650	                         2650	                                   2650	
quests/quest_tarotCardsGetAll.3366.txt             	             2	                 2	              2	                        2	        304	            304	         304	                   304	                         2093	                             2093	                          2093	                                    2093	                        2239	                            2239	                         2239	                                   2239	
quests/quest_theApiary.3088.txt                    	             2	                 2	              2	                        2	        335	            335	         335	                   335	                         2328	                             2328	                          2328	                                    2328	                        2485	                            2485	                         2485	                                   2485	
songs/song_maiden.2853.txt                         	             2	                 2	              2	                        2	         90	             90	          90	                    90	                          370	                              370	                           370	                                     370	                         432	                             432	                          432	                                    432	
